COUNTRY,COURSE (SPECIALIZATION),FEES_category,FEES_Smoothed_ES,COURSE TYPE_M.ENG,COURSE TYPE_M.Sc,COURSE TYPE_MASTERS OF MANAGEMENT,COURSE TYPE_MBA
FRANCE,MASTERS OF MANAGEMENT in Logistic and Supply Chain,Low,-0.1058952319783501,0,0,1,0
FRANCE,MASTERS OF MANAGEMENT in International Corporate Finance,Low,-0.2754214154526823,0,0,1,0
FRANCE,MASTERS OF MANAGEMENT in International Business,Low,-0.4620834347109894,0,0,1,0
FRANCE,MASTERS OF MANAGEMENT in Real Estate,Low,-0.543640295331176,0,0,1,0
FRANCE,MASTERS OF MANAGEMENT in Human Resource ,Medium,-0.3363101787820863,0,0,1,0
FRANCE,MASTERS OF MANAGEMENT in Risk Management,Medium,-0.1987339540554245,0,0,1,0
FRANCE,MASTERS OF MANAGEMENT in International Sports And Event Management,Medium,-0.1250951589626506,0,0,1,0
FRANCE,M.ENG in ME/M.TECH,Low,-0.4021841837783528,1,0,0,0
FRANCE,M.ENG in Electtical Engineering,Low,-0.5848142200413998,1,0,0,0
FRANCE,M.ENG in Architecture,Medium,-0.3726867829369442,1,0,0,0
FRANCE,M.ENG in Civil Engineering,Low,-0.7152631348203662,1,0,0,0
FRANCE,M.ENG in IT Engineering,Low,-0.7583381643904145,1,0,0,0
FRANCE,M.ENG in Computer Engineering,Medium,-0.6546942062427257,1,0,0,0
FRANCE,M.ENG in Aerospace Engineering,Low,-0.9882168788183892,1,0,0,0
FRANCE,M.ENG in Agriculture,Low,-1.0653518220624212,1,0,0,0
FRANCE,M.ENG in Biology,Medium,-0.8051431684555229,1,0,0,0
FRANCE,M.ENG in Biomedical,Low,-0.8168058379869956,1,0,0,0
FRANCE,M.ENG in Business Administration,Medium,-0.5731664810303219,1,0,0,0
FRANCE,M.ENG in Energy Engineering,Low,-0.9012880642684762,1,0,0,0
FRANCE,M.ENG in Food Technology,Low,-0.9475328135930062,1,0,0,0
FRANCE,"M.ENG in 
Industrial",Low,-1.116629871493229,1,0,0,0
FRANCE,M.ENG in Materials,Low,-1.281712437592511,1,0,0,0
FRANCE,M.ENG in Nuclear ,Medium,-1.0847000156230593,1,0,0,0
FRANCE,M.ENG in Production,Medium,-0.9278016350537414,1,0,0,0
FRANCE,"M.ENG in 
Risk Management",Medium,-0.7704985556784647,1,0,0,0
FRANCE,M.ENG in Texttile,High,-0.0432216314179668,1,0,0,0
FRANCE,M.ENG in Transportation,Low,-0.2975131291018251,1,0,0,0
FRANCE,M.Sc in Physics,Medium,-0.2676560833831056,0,1,0,0
FRANCE,M.Sc in Chemistry,Low,-0.8116233270626138,0,1,0,0
FRANCE,M.Sc in Biology,Low,-1.192400397638269,0,1,0,0
